org.jfree.data.xy.XYSeries,527,0.5773502692
org.jfree.data.xy.XYSeries,564,0.5773502692
org.jfree.data.xy.XYSeries,563,0.4714045208
org.jfree.data.xy.XYSeries,570,0.4714045208
org.jfree.data.xy.XYSeries,541,0.4082482905
org.jfree.data.xy.XYSeries,546,0.4082482905
org.jfree.data.xy.XYSeries,547,0.4082482905
org.jfree.data.xy.XYSeries,548,0.4082482905
org.jfree.data.xy.XYSeries,574,0.4082482905
org.jfree.data.xy.XYSeries,575,0.4082482905
org.jfree.data.xy.XYSeries,590,0.2886751346
org.jfree.data.xy.XYDataItem,191,0.246182982
org.jfree.data.xy.XYSeries,589,0.1873171623
org.jfree.chart.ui.ProjectInfo,102,0.123091491
org.jfree.data.xy.XYDataItem,179,0.0890870806
org.jfree.data.xy.XYDataItem,180,0.0890870806
org.jfree.data.xy.XYDataItem,181,0.0890870806
org.jfree.data.xy.XYDataItem,183,0.0890870806
org.jfree.data.xy.XYDataItem,187,0.0890870806
org.jfree.data.xy.XYDataItem,194,0.0890870806
org.jfree.data.xy.XYDataItem,203,0.0890870806
org.jfree.data.xy.XYDataItem,96,0.0804517987
org.jfree.data.xy.XYSeries,186,0.0758098044
org.jfree.data.general.Series,313,0.0491473187
org.jfree.data.general.Series,314,0.0491473187
org.jfree.data.general.Series,316,0.0491473187
org.jfree.data.general.Series,326,0.0491473187
org.jfree.data.general.Series,327,0.0491473187
org.jfree.data.general.Series,334,0.0491473187
